code,name
0,Other
101,ALBANIA
102,ANDORRA
103,AUSTRIA
104,BELGIUM
105,BULGARIA
107,POLAND
108,DENMARK
109,ESTONIA
110,FINLAND
111,FRANCE
112,GERMANY
113,GREECE
114,HUNGARY
115,ICELAND
116,IRELAND
117,ITALY
118,LATVIA
119,LIECHTENSTEIN
120,LITHUANIA
121,LUXEMBOURG
122,MONACO
123,NETHERLANDS
124,NORWAY
126,PORTUGAL
127,ROMANIA
128,SAN MARINO
129,SPAIN
130,SWEDEN
131,SWITZERLAND
135,UNITED KINGDOM
139,YUGOSLAVIA
140,CZECH REPUBLIC
141,SLOVAKIA
142,SERBIA AND MONTENEGRO
143,GIBRALTAR
145,MALTA
149,HOLY SEE/VATICAN
151,ARMENIA
152,AZERBAIJAN
153,BELARUS
154,GEORGIA
155,KAZAKHSTAN
156,KYRGYZSTAN
157,MOLDOVA
158,RUSSIA
159,TAJIKISTAN
161,TURKMENISTAN
162,UKRAINE
163,UZBEKISTAN
164,BOSNIA-HERZEGOVINA
165,CROATIA
166,SLOVENIA
167,MACEDONIA
201,KAMPUCHEA
203,LAOS
204,INDONESIA
206,HONG KONG
207,SINGAPORE
209,JAPAN
213,INDIA
214,MACAU
216,YEMEN
217,BRUNEI
218,CYPRUS
220,MALDIVES
236,AFGHANISTAN
240,EAST TIMOR
242,BHUTAN
243,BURMA
244,SRI LANKA
245,"CHINA, PRC"
249,IRAN
250,IRAQ
251,ISRAEL
253,JORDAN
255,LEBANON
256,OMAN
257,NEPAL
258,PAKISTAN
260,PHILIPPINES
261,SAUDI ARABIA
262,SYRIA
263,THAILAND
264,TURKEY
266,VIETNAM
268,TAIWAN
270,CHRISTMAS ISLAND
271,COCOS ISLANDS
272,KUWAIT
273,MALAYSIA
274,BANGLADESH
275,NORTH KOREA
276,SOUTH KOREA
296,UNITED ARAB EMIRATES
297,QATAR
298,BAHRAIN
299,MONGOLIA
301,ZAIRE
304,TOGO
310,CAMEROON
315,ZIMBABWE
316,ALGERIA
317,COMOROS
320,MADAGASCAR
321,REUNION
322,DJIBOUTI
323,TUNISIA
324,ANGOLA
326,CAPE VERDE
327,GUINEA-BISSAU
329,MOZAMBIQUE
330,SAO TOME AND PRINCIPE
332,MOROCCO
333,WESTERN SAHARA
335,LESOTHO
336,BOTSWANA
338,GAMBIA
339,GHANA
340,KENYA
342,MAURITIUS
343,NIGERIA
344,ZAMBIA
345,MALAWI
346,ST. HELENA
347,SEYCHELLES
348,SIERRA LEONE
350,SUDAN
351,SWAZILAND
352,UGANDA
353,TANZANIA
368,EGYPT
369,ETHIOPIA
370,LIBERIA
371,NAMIBIA
372,ERITREA
373,SOUTH AFRICA
375,BURUNDI
376,RWANDA
381,LIBYA
382,GUINEA
383,CENTRAL AFRICAN REPUBLIC
384,CHAD
385,CONGO
386,BENIN
387,GABON
388,IVORY COAST
389,MAURITANIA
390,NIGER
391,SENEGAL
392,MALI
393,BURKINA FASO
397,SOMALIA
399,EQUATORIAL GUINEA
409,NEW CALEDONIA
410,VANUATU
411,FRENCH POLYNESIA
412,SOLOMON ISLANDS
413,FIJI
414,KIRIBATI
416,PITCAIRN ISLANDS
417,TONGA
420,TUVALU
438,AUSTRALIA
440,NAURU
441,PAPUA NEW GUINEA
464,NEW ZEALAND
465,WESTERN SAMOA
467,COOK ISLANDS
469,WALLIS AND FUTUNA ISLANDS
470,NIUE
472,MARSHALL ISLANDS
473,"MICRONESIA, FED. STATES OF"
474,PALAU
502,ST. PIERRE AND MIQUELON
504,PANAMA
507,GUADELOUPE
508,NETHERLANDS ANTILLES
509,BERMUDA
511,MARTINIQUE
512,BAHAMAS
513,BARBADOS
514,JAMAICA
516,TRINIDAD AND TOBAGO
518,ANTIGUA-BARBUDA
519,DOMINICA
520,GRENADA
521,MONTSERRAT
522,ST. KITTS-NEVIS
523,ST. LUCIA
524,ST. VINCENT-GRENADINES
525,BRITISH VIRGIN ISLANDS
526,CAYMAN ISLANDS
527,TURKS AND CAICOS ISLANDS
528,HONDURAS
529,ANGUILLA
532,ARUBA
575,COSTA RICA
576,EL SALVADOR
577,GUATEMALA
579,NICARAGUA
581,BELIZE
582,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)"
584,CUBA
585,DOMINICAN REPUBLIC
586,HAITI
601,FRENCH GUIANA
602,SURINAME
603,GUYANA
604,FALKLAND ISLANDS
687,ARGENTINA
688,BOLIVIA
689,BRAZIL
690,CHILE
691,COLOMBIA
692,ECUADOR
693,PARAGUAY
694,PERU
695,URUGUAY
696,VENEZUELA
716,SAINT BARTHELEMY
717,"BONAIRE, ST EUSTATIUS, SABA"
721,CURACAO
723,FAROE ISLANDS (PART OF DENMARK)
726,HEARD AND MCDONALD IS.
729,INDIAN OCEAN TERRITORY
732,KOSOVO
735,MONTENEGRO
736,SAINT MARTIN
743,PALESTINE
745,SERBIA
748,REPUBLIC OF SOUTH SUDAN
749,SAINT MAARTEN
757,WEST INDIES (FRENCH)
758,GAZA STRIP
759,INDIAN OCEAN AREAS (FRENCH)
760,MAYOTTE (AFRICA - FRENCH)
